Issue ID,Project Name,Project Key,Issue Type,Summary,Description,Component/s,Labels,Epic Name,Epic Link,Priority
TK-002,SIM NEWEN,SIM,Task,[SW] FEAT-SW-01.2 - Implementar escenarios de entrenamiento,"Definir catalogo inicial de escenarios e implementar carga desde HMI de instructor. Validar transicion entre escenarios normal, anormal y emergencia con evidencia verificable.",sw,"newen,sim,scrumban,sw,escenarios",,EPIC-SW-01 - Nucleo de simulacion y escenarios,High
TK-003,SIM NEWEN,SIM,Task,[SW] FEAT-SW-01.3 - Gestionar clima y visibilidad,"Definir variables minimas de clima y visibilidad, exponer controles en estacion instructor, aplicar cambios al motor de simulacion y registrar la bitacora correspondiente.",sw,"newen,sim,scrumban,sw,clima",,EPIC-SW-01 - Nucleo de simulacion y escenarios,High
TK-004,SIM NEWEN,SIM,Task,[SW] FEAT-SW-01.4 - Modelar combustible y performance,"Modelar consumo y estado de combustible, conectarlo al modelo de performance y exponer variables relevantes a instructor y telemetria con pruebas de variacion.",sw,"newen,sim,scrumban,sw,performance",,EPIC-SW-01 - Nucleo de simulacion y escenarios,Medium
TK-005,SIM NEWEN,SIM,Task,[SW] FEAT-SW-02.1 - Construir HMI instructor,"Dise?ar flujo operativo de HMI e implementar paneles de clima, fallas, reposicionamiento y reinicio. Incluir permisos minimos y validacion de uso en sesion real.",sw,"newen,sim,scrumban,sw,hmi",,EPIC-SW-02 - Estacion instructor y ATC,High
TK-006,SIM NEWEN,SIM,Task,[SW] FEAT-SW-02.2 - Monitorear alumno en tiempo real,"Definir telemetria minima, implementar panel de estado con eventos o alertas relevantes y validar que el monitoreo no degrade la simulacion.",sw,"newen,sim,scrumban,sw,telemetria",,EPIC-SW-02 - Estacion instructor y ATC,High
TK-007,SIM NEWEN,SIM,Task,[SW] FEAT-SW-02.3 - Habilitar ATC y comunicaciones,"Definir flujo instructor-alumno, integrar canal de voz o interfaz equivalente y registrar eventos relevantes de comunicacion durante sesion activa.",sw,"newen,sim,scrumban,sw,atc",,EPIC-SW-02 - Estacion instructor y ATC,Medium
TK-008,SIM NEWEN,SIM,Task,[SW] FEAT-SW-03.1 - Sincronizar tres estaciones,"Definir sincronizacion minima entre estaciones, implementar descubrimiento o configuracion de nodos y probar sesion con tres nodos o simuladores equivalentes.","sw,int","newen,sim,scrumban,sw,int,multiestacion",,EPIC-SW-03 - Multiestacion e interoperabilidad,High
TK-009,SIM NEWEN,SIM,Task,[SW] FEAT-SW-03.2 - Gestionar control maestro,"Definir arbitraje, bloquear controles globales en estaciones secundarias y registrar cambios de liderazgo y perdida de control maestro.","sw,int","newen,sim,scrumban,sw,int,control-maestro",,EPIC-SW-03 - Multiestacion e interoperabilidad,High
TK-010,SIM NEWEN,SIM,Task,[INT] FEAT-SW-03.3 - Cerrar ICD MPS/DBS,"Definir datos requeridos desde MPS y exportados hacia DBS. Documentar formato, versionado, errores y responsabilidades, y crear fixtures o simuladores de prueba.",int,"newen,sim,scrumban,int,mps-dbs",,EPIC-SW-03 - Multiestacion e interoperabilidad,High
TK-011,SIM NEWEN,SIM,Task,[SW] FEAT-SW-03.4 - Implementar importacion y exportacion operacional,Implementar importacion de plan de mision o vuelo desde MPS y exportacion de telemetria y eventos a DBS. Validar versionado y manejo de errores.,"sw,int","newen,sim,scrumban,sw,int,mps-dbs",,EPIC-SW-03 - Multiestacion e interoperabilidad,High
TK-012,SIM NEWEN,SIM,Task,[HW] FEAT-HW-01.1 - Dise?ar distribucion electrica,"Crear diagrama unifilar, seleccionar protecciones, conectores y rutas de cableado, y definir separacion entre potencia, se?ales y comunicaciones.",hw,"newen,sim,scrumban,hw,electrica",,EPIC-HW-01 - Arquitectura electrica y energia,High
TK-013,SIM NEWEN,SIM,Task,[HW] FEAT-HW-01.2 - Dimensionar UPS y apagado controlado,"Dimensionar UPS para computacion y cargas criticas, definir se?alizacion de estado, implementar secuencia de apagado controlado y probar corte de energia.",hw,"newen,sim,scrumban,hw,ups",,EPIC-HW-01 - Arquitectura electrica y energia,High
TK-014,SIM NEWEN,SIM,Task,[HW] FEAT-HW-01.3 - Implementar readiness electrico,"Definir estados electricos monitoreables, sensar protecciones o se?ales criticas, reportar estado al panel de readiness y definir codigos de falla.",hw,"newen,sim,scrumban,hw,readiness",,EPIC-HW-01 - Arquitectura electrica y energia,High
TK-015,SIM NEWEN,SIM,Task,[HW] FEAT-HW-02.1 - Desarrollar force feedback fisico,"Seleccionar actuadores y drivers, construir banco de cargas, definir curvas de esfuerzo e integrar comandos desde software y firmware.",hw,"newen,sim,scrumban,hw,force-feedback",,"EPIC-HW-02 - Mandos, sensores y actuadores",High
TK-016,SIM NEWEN,SIM,Task,[HW] FEAT-HW-02.2 - Instrumentar paneles y sensores,"Mapear entradas y salidas por panel, prototipar paneles principales, validar rebote, calibracion y estabilidad, y documentar conectores y se?ales.",hw,"newen,sim,scrumban,hw,paneles",,"EPIC-HW-02 - Mandos, sensores y actuadores",High
TK-017,SIM NEWEN,SIM,Task,[HW] FEAT-HW-02.3 - Actuar fallas fisicas de forma segura,"Definir fallas con actuacion fisica y solo software, dise?ar circuito seguro para actuadores y validar fail-safe ante falla electrica.",hw,"newen,sim,scrumban,hw,fallas",,"EPIC-HW-02 - Mandos, sensores y actuadores",High
TK-018,SIM NEWEN,SIM,Task,[FW] FEAT-FW-01.1 - Implementar comunicacion modulo-host,"Definir protocolo modulo-host, implementar parser y serializacion, agregar reconexion y medir latencia de comunicacion.",fw,"newen,sim,scrumban,fw,protocolo",,EPIC-FW-01 - Firmware de modulos de cabina,High
TK-019,SIM NEWEN,SIM,Task,[FW] FEAT-FW-01.2 - Controlar force feedback desde firmware,"Implementar loop de control, limites, rampas y saturacion, enviar telemetria de esfuerzo y validar estado seguro ante comandos fuera de rango.",fw,"newen,sim,scrumban,fw,force-feedback",,EPIC-FW-01 - Firmware de modulos de cabina,High
TK-020,SIM NEWEN,SIM,Task,[FW] FEAT-FW-01.3 - Agregar diagnostico y watchdog,"Implementar autotest, codigos de error, watchdog y reporte de estado seguro al host.",fw,"newen,sim,scrumban,fw,watchdog",,EPIC-FW-01 - Firmware de modulos de cabina,High
TK-021,SIM NEWEN,SIM,Task,[MEC] FEAT-MEC-01.1 - Definir arquitectura de cabina,"Definir layout ergonomico, revisar antropometria y accesos, y validar interfaces con visual, mandos y paneles sin interferencias fisicas.",mec,"newen,sim,scrumban,mec,ergonomia",,EPIC-MEC-01 - Estructura cabina y ergonomia,High
TK-022,SIM NEWEN,SIM,Task,[MEC] FEAT-MEC-01.2 - Dise?ar base fija y soportes,"Predimensionar estructura base, dise?ar soportes para cabina, visor y controles, y revisar rigidez, vibracion y montaje.",mec,"newen,sim,scrumban,mec,estructura",,EPIC-MEC-01 - Estructura cabina y ergonomia,High
TK-023,SIM NEWEN,SIM,Task,[MEC] FEAT-MEC-01.3 - Modularizar paneles y accesos,"Definir modulos desmontables, puntos de fijacion y accesos de revision, validando tiempo y herramientas para mantenimiento Nivel 1.",mec,"newen,sim,scrumban,mec,mantenimiento",,EPIC-MEC-01 - Estructura cabina y ergonomia,High
TK-024,SIM NEWEN,SIM,Task,"[MEC] FEAT-MEC-02.1 - Integrar ruedas, anclajes y nivelacion","Seleccionar ruedas, frenos, anclajes y niveladores, dise?ar puntos de traslado y probar fijacion y nivelacion seguras.",mec,"newen,sim,scrumban,mec,transportabilidad",,EPIC-MEC-02 - Integracion fisica y transportabilidad,Medium
TK-025,SIM NEWEN,SIM,Task,[MEC] FEAT-MEC-02.2 - Definir condiciones de instalacion,"Definir espacio minimo, accesos, energia, red, temperatura, seguridad y checklist de instalacion para aprobacion de sitio.","mec,int","newen,sim,scrumban,mec,int,instalacion",,EPIC-MEC-02 - Integracion fisica y transportabilidad,Medium
TK-026,SIM NEWEN,SIM,Task,[MEC] FEAT-MEC-02.3 - Formalizar mantenibilidad Nivel 1,"Definir tareas de mantenimiento Nivel 1, etiquetar accesos y modulos, crear checklist de inspeccion y validar procedimiento con usuario o mantenedor.",mec,"newen,sim,scrumban,mec,mantenimiento",,EPIC-MEC-02 - Integracion fisica y transportabilidad,High
TK-027,SIM NEWEN,SIM,Task,[QA] FEAT-QA-01.1 - Construir matriz de trazabilidad,"Mapear UR, SR, historias y DoD, asignar metodo de verificacion por requisito, definir evidencia esperada e identificar brechas.",qa,"newen,sim,scrumban,qa,trazabilidad",,EPIC-QA-01 - Verificacion y aceptacion,High
TK-028,SIM NEWEN,SIM,Task,[QA] FEAT-QA-01.2 - Preparar plan FAT,"Definir casos de prueba FAT, asociarlos a SR, definir evidencia y formato de registro, y crear flujo de no conformidades.",qa,"newen,sim,scrumban,qa,fat-sat",,EPIC-QA-01 - Verificacion y aceptacion,High
TK-029,SIM NEWEN,SIM,Task,[QA] FEAT-QA-01.3 - Preparar plan SAT,"Definir checklist de instalacion, pruebas en sitio, criterios de cierre de pendientes y validacion de operacion integrada.",qa,"newen,sim,scrumban,qa,fat-sat",,EPIC-QA-01 - Verificacion y aceptacion,High
TK-030,SIM NEWEN,SIM,Task,[QA] FEAT-QA-01.4 - Consolidar catalogo de fallas,"Definir lista minima de fallas, clasificarlas por tipo, definir efecto esperado y crear prueba de aceptacion por falla.",qa,"newen,sim,scrumban,qa,fallas",,EPIC-QA-01 - Verificacion y aceptacion,High
TK-031,SIM NEWEN,SIM,Task,[INT] Sprint 0 - Configurar proyecto Jira y baseline,"Crear componentes sw, hw, fw, mec, qa e int. Cargar epicas, importar backlog base, alinear etiquetas y dejar lista la matriz inicial UR, SR y US.",int,"newen,sim,scrumban,int,jira",,EPIC-QA-01 - Verificacion y aceptacion,High
